,UF,Município,Estabelecimento,Tipo,Endereço
27,AL,"Lagoa da Canoa","CAPS LAGOA DA CANOA","CAPS I","AV NOSSA SENHRA DO CONCEICAO, S/N Bairro: CENTRO CEP: 57330000 Fone: 8235281160"
28,AL,"Limoeiro de Anadia","CAPS DE LIMOEIRO DE ANADIA","CAPS I","RUA JOSE BARBSOA, S/N Bairro: CENTRO CEP: 57260000"
29,AL,Maceió,"CAPS AD INFANTO JUVENIL DR EVERALDO MOREIRA","CAPS AD III","RUA BARAO JOSE MIGUEL, 378 Bairro: FAROL CEP: 57055160 Fone: (82)3312 5517"
30,AL,Maceió,"CAPSI LUIZ DA ROCHA CERQUEIRA","CAPS i","AV PRESIDENTE JETULIO VARGAS, S/N Bairro: SERRARIA CEP: 57046350 Fone: (82)312 5540"
31,AL,Maceió,"CAPS DR SADI FEITOSA DE CARVALHO","CAPS II","RUA DOUTOR OSVALDO CRUZ, 1 Bairro: BEBEDOURO CEP: 57018630 Fone: 3312 5521"
32,AL,Maceió,"CAPS NORACI PEDROSACENTO DE ATENCAO PSICOSSOCIAL","CAPS II","CONJ JOSE DA SILVA PEIXOTO, S/N Bairro: JACINTINHO CEP: 57080000 Fone: (82)3312 5532"
33,AL,Maceió,"CAPS II DR ROSTAND SILVESTRE","CAPS II","RUA JOSE MAIA GOMES, S/N Bairro: JATIUCA CEP: 57036110 Fone: (082) 3312 5500"
34,AL,"Major Isidoro","CAPS MANDACARU BELEZA CAPS 1","CAPS I","SITIO ESCUTA, S/N Bairro: ZONA RURAL CEP: 57580000 Fone: 8234241612"
35,AL,"Marechal Deodoro","CAPS MARIA CELIA DE ARAUJO SARMENTO","CAPS I","CONJUNTO LIBERALINO RIBEIRO, S/N Bairro: PORTO GRANDE CEP: 57160000"
36,AL,"Mata Grande","CAPS NOVO HORIZONTE","CAPS I","RUA SIQUEIRA CAMPOS, S/N Bairro: CENTRO CEP: 57540000 Fone: 8236421526"
37,AL,"Matriz de Camaragibe","CENTRO DE ATENCAO PSICOSSOCIAL VALE DO CAMARAGIBE","CAPS I","RUA PREFEITO AROLDO LOUREIRO, 54 Bairro: CENTRO CEP: 57910000"
38,AL,Messias,"CAPS MARINA JOSE DA SILVA PEIXOTO","CAPS I","RUA FLORIANO PEIXOTO, S/N Bairro: CENTRO CEP: 57990000 Fone: 82 991829332"
39,AL,Murici,"CAPS DRA CRISTINA RIBEIRO","CAPS I","RUA JOAO PESSOA, S/N Bairro: CIDADE ALTA CEP: 57820000 Fone: 998094419"
40,AL,"Olho d'Água das Flores","CAPS GENIVALDO FRANCISCO DOS SANTOS","CAPS I","RUA 06 DE FEVEREIRO, S/N Bairro: CENTRO CEP: 57442000 Fone: 082 3623 1206"
41,AL,"Ouro Branco","CAPS DR JOSE ADJAEDSON GOMES DE FRANCA","CAPS I","RUA PRESIDENTE MEDICE, 194 Bairro: LUIZ GONZAGA DE CARV CEP: 57525000 Fone: 82 3629-1242"
42,AL,"Palmeira dos Índios","CAPS AD ESPACO RENASCER","CAPS AD","RUA ANTERO AMORIM, 332 Bairro: SAO FRANCISCO CEP: 57601080"
43,AL,"Palmeira dos Índios","CENTRO DE ATENCAO PSICOSSOCIAL CAPS","CAPS II","RUA PEDRO CARNAUBA, 88 Bairro: PARAISO CEP: 57602080"
44,AL,"Pão de Açúcar","CAPS MARIA FULO","CAPS I","AVENIDA JOSE DE FREITAS MACHADO, S/N Bairro: CENTRO CEP: 57400000"
45,AL,Penedo,"CAPS DR OCEANO CARLEAL","CAPS I","RUA DR JOSE LINS, 173 Bairro: CENTRO CEP: 57200000 Fone: 82999214109"
46,AL,Pilar,"CAPS DR CARLOS ALBERTO CANUTO","CAPS I","RUA JOSE OTAVIO MOREIRA, 51 Bairro: CHA DO PILAR CEP: 57150000 Fone: ( 82)987222963"
47,AL,Piranhas,"CAPS MARILIA RODRIGUES","CAPS I","RUA MARAVILHA, S/N Bairro: XINGO CEP: 57460000"
48,AL,"Porto Calvo","CAPS GEMINA DE GUSMAO MONTEIRO","CAPS I","RUA BOA VISTA, S/N Bairro: CENTRO CEP: 57900000 Fone: (82)996908484"
49,AL,"Porto Real do Colégio","CAPS SAO FRANCISCO","CAPS I","PRACA ROSITA DE GOES MONTEIRO, S/N Bairro: CENTRO CEP: 57290000 Fone: 82-35531131"
50,AL,Quebrangulo,"CENTRO DE APOIO PSICOSOCIAL","CAPS I","RUA RIO BRANCO, 182 Bairro: CENTRO CEP: 57750000"
51,AL,"Rio Largo","CAPS II MARIA SALETE DA SILVA","CAPS II","AV PRESIDENTE FERNANDO COLLOR DE MELO, 51 Bairro: PREFEITO ANTONIO LIN CEP: 57100000"
52,AL,"Santana do Ipanema","CAPS IRMA LEONTIA","CAPS I","RUA NAIR AMARAL, 146 Bairro: CAMOXINGA CEP: 57500000 Fone: 08236213272"
53,AL,"São José da Laje","CENTRO DE ATENCAO PSICOSSOCIAL DR MUCIO TENORIO VERAS","CAPS I","TIJUCA, 1 Bairro: TIJUCA CEP: 57860000 Fone: ( )"
54,AL,"São José da Tapera","CENTRO DE ATENCAO PSICOSSOCIAL MAXINEY CAVALCANTE LIMA","CAPS I","RUA DO COMERCIO, 209 Bairro: CENTRO CEP: 57445000"
55,AL,"São Luís do Quitunde","CENTRO DE ATENCAO PSICOSSOCIAL SAO VITO","CAPS I","RUA FERNANDES SARMENTO, S/N Bairro: CENTRO CEP: 57920000 Fone: 08232541222"
56,AL,"São Miguel dos Campos","CENTRO DE APOIO PSICOSSOCIAL JOSE DE AQUINO CAPS","CAPS I","RUA ARISTIDES DE CASTRO, 169 Bairro: CENTRO CEP: 57240086 Fone: 82-32712002"
57,AL,"São Sebastião","CAPS I NELSON MOREIRA","CAPS I","RUA PEDRO VIEIRA DE BARROS, 82 Bairro: CENTRO CEP: 57275000"
58,AL,Satuba,"CAPS LUIZ DE ARAUJO LIMA","CAPS I","RUA JOSE FERREIRA RODRIGUES, S/N Bairro: LOTEAMENTO FRIDOLIN CEP: 57120000 Fone: 82 3266-1148"
59,AL,Taquarana,"CAPS AUGUSTINHA AUGUSTA DA ROCHA","CAPS I","RUA LUCIA DE FATIMA, 86 Bairro: CENTRO CEP: 57640000"
60,AL,"Teotônio Vilela","CAPS DR HUMBERTO BARBOSA FERREIRA","CAPS I","RUA VEREADOR GILBERTO PEREIRA, 762 Bairro: CENTRO CEP: 57265063 Fone: 8235433597"
61,AL,"União dos Palmares","CAPS CENTRO DE ATENCAO PSICOSOCIAL ARISTEU G DE ALBUQUERQUE","CAPS I","RUA CORREIA DE OLIVEIRA, S/N Bairro: CENTRO CEP: 57800000 Fone: (82)2811239"
62,AL,Viçosa,"CAPS VICOSA","CAPS I","RUA FREDERICO MAIA, 81 Bairro: CENTRO CEP: 57700000"
63,AM,Apuí,"CAPS MARIA SALETE TASCA","CAPS I","RUA BRASIL, S/N Bairro: CENTRO CEP: 69265000 Fone: 97-3389-1219"
64,AM,Autazes,"CENTRO DE SAUDE PSICOSSOCIAL DE AUTAZES","CAPS I","AV 20 DE DEZEMBRO, 268 Bairro: NOSSA SENHORA APAREC CEP: 69240000 Fone: (92) 3317 1725"
65,AM,Borba,"CAPS JOSE MARIA PANTOJA","CAPS I","RUA 7 DE SETEMBRO, S/N Bairro: SAO SEBASTIAO CEP: 69200000 Fone: 92 3512 1144"
66,AM,Coari,"CAPS MARIA FERREIRA DE MOURA","CAPS I","RUA GONCALVES LEDO, 239 Bairro: CENTRO CEP: 69460000 Fone: 097 3561 2453"
67,AM,Eirunepé,"CAPS EIRUNEPE","CAPS I","RUA DOS ANJOS, S/N Bairro: NOSSA SENHORA DE FAT CEP: 69880000 Fone: 97-34811208"
68,AM,Guajará,"CAPS GUAJARA","CAPS I","RUA EDSON HERCULANO, S/N Bairro: CENTRO CEP: 69895000 Fone: (97)34851004"
69,AM,Humaitá,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS MANGABEIRA","CAPS I","TRAVESSA DO HOSPITAL, S/N Bairro: SAO JOSE CEP: 69800000 Fone: 97-3373-3869"
70,AM,Iranduba,"CAPS IRANDUBA","CAPS I","AV RIO SOLIMOES, 25 Bairro: CIDADE NOVA CEP: 69415000 Fone: (92)991702109"
71,AM,Itacoatiara,"CAPS SAO LUCAS","CAPS II","RUA NOSSA SENHORA DO ROSARIO, 3366 Bairro: SAO JORGE CEP: 69104086"
72,AM,Manacapuru,"CAPS AD DE MANACAPURU","CAPS AD","RUA CAROLINA FERNANDES, 643 Bairro: SAO JOSE CEP: 69400797 Fone: 92 91628729"
73,AM,Manacapuru,"CAPS JOAQUIM PEREIRA DE CASTRO","CAPS II","RUA CORONEL JUVENCIO SORIANO, 1530 Bairro: SAO JOSE CEP: 69400812 Fone: 92 33611151"
74,AM,Manaquiri,"CENTRO DE ATENCAO PSICOSSOCIAL JOSE ANTONIO DE ARAUJO","CAPS I","RUA 31 DE JANEIRO, S/N Bairro: AJURICABA CEP: 69435000"
75,AM,Manaus,"CAPS INFANTO JUVENIL LESTE","CAPS i","AVENIDA ADOLFO DUCKE, 1221 Bairro: COROADO CEP: 69082653 Fone: (92)988428866"
76,AM,Manaus,"CAPS BENJAMIM MATIAS FERNANDES","CAPS II","AVENIDA MANECA MARQUES, 1916 Bairro: PARQUE 10 DE NOVEMBR CEP: 69055021 Fone: (92)988427414"
77,AM,Manaus,"CAPS DR SILVERIO TUNDIS","CAPS III","AVENIDA SETE DE MAIO, S/N Bairro: SANTA ETELVINA CEP: 69059140 Fone: 92 36523154"
78,AM,Manicoré,"CAPS LUCY MARQUES CAVALCANTE","CAPS I","ESTRADA DO AREAL, S/N Bairro: SANTO ANTONIO CEP: 69280000"
79,AM,Maués,"CENTRO DE APOIO PSICOSSOCIAL DE MAUES","CAPS I","ESTRADA DOS MORAES, 933 Bairro: MARESIA CEP: 69190000"
80,AM,"Nova Olinda do Norte","CAPS NOVA VIDA NOVA OLINDA DO NORTE","CAPS I","RUA 24 DE AGOSTO, S/N Bairro: SANTA LUZIA CEP: 69230000"
81,AM,Parintins,"CENTRO DE ATENCAO PSICOSSOCIAL ADOLFO LOURIDO","CAPS II","RUA HERBERTH DE AZEVEDO, 985 Bairro: SANTA CLARA CEP: 69151160"
82,AM,"Rio Preto da Eva","CAPS HILDA SIQUEIRA PINTO RIO PRETO DA EVA","CAPS I","RUA GOVERNADOR ALVARO MAIA, S/N Bairro: CENTRO CEP: 69117000 Fone: 3328-1189"
83,AM,"São Gabriel da Cachoeira","CAPS PICASSUARA","CAPS I","AVENIDA 31 DE MARCO, 117 Bairro: FORTAALEZA CEP: 69750000 Fone: 97 34711066"
84,AM,Tefé,"CENTRO DE ATENCAO PSIQUICO SOCIAL LIGIA RODRIGUES BARROS","CAPS II","RUA MARECHAL DEODORO, 660 Bairro: CENTRO CEP: 69550133"
85,AP,Macapá,"SES AP CENTRO DE ATENCAO PSICOSSOCIAL ESPACO ACOLHER","CAPS AD III","AV CORA DE CAVALHO, 1731 Bairro: SANTA RITA CEP: 68903003 Fone: 96 98116-5218"
86,AP,Macapá,"PMM CENTRO DE ATENCAO PSICOSSOCIAL PARA INFANCIA","CAPS i","RUA REDENCAO, S/N Bairro: PEDRINHAS CEP: 68900020 Fone: 96 32131061"
87,AP,Santana,"PM STN CENTRO DE ATENCAO PSICOSSOCIAL DE SANTANA","CAPS AD","AV LUCENA DE AZEVEDO, 499 Bairro: DANIEL CEP: 68926084 Fone: 96991427952"
88,BA,Abaíra,"CAPS ABAIRA","CAPS I","RUA DR FRANCISCO ROCHA FILHO, S/N Bairro: CENTRO CEP: 46690000 Fone: (77) 3476-2525"
89,BA,Alagoinhas,"CAPS III CENTRO DE ATENCAO PSICOSSOCIAL DE ALAGOINHAS","CAPS III","LOTEMANENTO PARQUE FLORESTA, S/N Bairro: CENTRO CEP: 48005420 Fone: (75)34224019"
90,BA,Alcobaça,"CAPS I","CAPS I","AVENIDA ATLANTICA, 11 Bairro: NOVELO CEP: 45910000"
91,BA,Amargosa,"CAPS JORGE SALES","CAPS I","RUA NARCISIO MUNIZ, S/N Bairro: CENTRO CEP: 45300000 Fone: (75)36343918"
92,BA,"Amélia Rodrigues","CENTRO DE ATENCAO PSICOSOCIAL CAPS I","CAPS I","AV RAULINDO BASTOS, S/N Bairro: ITAPICURU CEP: 44230000 Fone: 7532422666"
93,BA,Anagé,"CAPS I DE ANAGE CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA 5 DE ABRIL, S/N Bairro: CENTRO CEP: 45180000"
94,BA,Aracatu,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS I","CAPS I","RUA ALFERES RODRIGUES JOSE DOS SANTOS, S/N Bairro: CENTRO CEP: 46130000 Fone: 77 98135-1275"
95,BA,Araci,"CAPS CENTRO DE APOIO PSICOSSOCIAL DE ARACI","CAPS I","RUA PRISCO PARAISO, 339 Bairro: COQUEIRO I CEP: 48760000"
96,BA,Barra,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL DE BARRA","CAPS I","RUA DESEMBARGADOR MONTENEGRO, S/N Bairro: VERMELHO CEP: 47100000"
97,BA,"Barra da Estiva","CAPS BARRA DA ESTIVA","CAPS I","RUA OTAVIO MANGABEIRA, S/N Bairro: CENTRO CEP: 46650000"
98,BA,"Barra do Choça","CENTRO DE ATENCAO PSICOSSOCIAL DE BARRA DO CHOCA CAPS I","CAPS I","RUA FLORIVAL AMORIM, S/N Bairro: CENTRO CEP: 45120000 Fone: (77) 3436-1160"
99,BA,Barreiras,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL DE BARREIRAS","CAPS II","RUA MIRANDOLINA MACEDO, 149 Bairro: MORADA NOBRE CEP: 47810172 Fone: (77) 3611-4525"
100,BA,Barrocas,"CAPS CENTRO DE APOIO PSICOSSOCIAL DE BARROCAS","CAPS I","RUA ROQUE AVELINO, 263 Bairro: CENTRO CEP: 48705000 Fone: 75 36082150"
101,BA,Belmonte,"CAPS CENTRO DE ATENCAO PSICOSOCIAL DE BELMONTE","CAPS I","RUA CORONEO JOSE GOMES, 150 Bairro: CENTRO CEP: 45800000"
102,BA,"Belo Campo","CAPS I J MENESES SILVA","CAPS I","RUA VALDOMIRO RAMOS, 204 Bairro: ALVORADA CEP: 45160000 Fone: 7734372016"
103,BA,"Bom Jesus da Lapa","CAPS III EMILIA PEREIRA VALVERDE","CAPS I","RUA JAIME NETO, 00509 Bairro: AMARALINA CEP: 47600000 Fone: 77 3481 7763"
104,BA,Boquira,"CAPS CENTRO DE ATENCAO PSICOSOCIAL","CAPS I","PRACA DEL MARIO RODRIGUES, S/N Bairro: CENTRO CEP: 46530000 Fone: 7736452021"
105,BA,Botuporã,"CENTRO DE ATENCAO PSICOSSOCIAL URBINO TUNES CAPS","CAPS I","RUA ANA ROSA DE JESUS, S/N Bairro: CENTRO CEP: 46570227 Fone: 77981604761"
106,BA,Brumado,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA OSVALDO CRUZ, 52 Bairro: CENTRO CEP: 46100127 Fone: (77) 34412596"
107,BA,"Cabaceiras do Paraguaçu","CAPS I DE CABACEIRAS DO PARAGUACU","CAPS I","AVENIDA O NAVIO NEGREIRO, S/N Bairro: CENTRO CEP: 44345000"
108,BA,Cachoeira,"CENTRO DE ATENCAO PSICOSSOCIAL ANA NERY","CAPS I","AVENIDA ANTONIO CARLOS MAGALHAES, 22 Bairro: CENTRO CEP: 44300000"
109,BA,Caculé,"CAPS I DR LINDOLFO GONCALVES DE AGUIAR","CAPS I","RUA TENENTE JOSE RAIMUNDO DE CASTRO, S/N Bairro: CENTRO CEP: 46300000"
110,BA,Caetité,"CAPS I CAETITE","CAPS I","AVENIDA ERNESTO GEISEL, 345 Bairro: ALTO BUENOS AIRES CEP: 46400000 Fone: 7734542631"
111,BA,Camacan,"CAPS DEPUTADO FABIO SOUTO","CAPS I","RUA ANA MOURA, S/N Bairro: CENTRO CEP: 45880000 Fone: (73) 2831124"
112,BA,Camaçari,"CAPS II ORLA","CAPS II","AVENIDA SAO BENTO, S/N Bairro: BURIS DE ABRANTES CEP: 42827578 Fone: 71 3623 1686"
113,BA,Camamu,"CENTRO DE ATENCAO PSICOSSOCIAL DE CAMAMU","CAPS I","RUA ADEMARIO SOLON DE MORAES, 341 Bairro: CENTRO CEP: 45445000 Fone: 7332551275"
114,BA,"Campo Alegre de Lourdes","CAPS TIPO I DE CAMPO ALEGRE DE LOURDES","CAPS I","RUA DA CONSOLACAO, S/N Bairro: CENTRO CEP: 47220000 Fone: (74)35332722"
115,BA,"Campo Formoso","CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA ANTONIO TEIXEIRA PALHA, 37 Bairro: CENTRO CEP: 44790000 Fone: 74-36451763"
116,BA,Canavieiras,"CAPS I","CAPS I","RUA ANISIO SABINO LOUREIRO, S/N Bairro: SAO SEBASTIAO CEP: 45860000 Fone: (73) 3284 1561"
117,BA,Candeias,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS II","CAPS II","RUA 2 DE FEVEREIRO, S/N Bairro: CENTRO CEP: 43810271 Fone: (71)36019455"
118,BA,"Cândido Sales","CAPS I CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","AV PRESIDENTE COSTA E SILVA, 415 Bairro: CENTRO CEP: 45157000 Fone: 7734382964"
119,BA,Cansanção,"CAPS I CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","AV JURACY MAGALHAES, 23 Bairro: CENTRO CEP: 48840000 Fone: (75)3274-1346"
120,BA,"Capim Grosso","CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA APIARIO, S/N Bairro: PLANALTINO CEP: 44695000 Fone: 74 3651-0201"
121,BA,Caravelas,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","AVENIDA DR SOCRATES RAMOS, S/N Bairro: TANCREDO NEVES CEP: 45900000"
122,BA,Carinhanha,"CAPS I RAIMUNDO FARIAS ROSAS","CAPS I","RUA DA PISTA, S/N Bairro: SAO FRANCISCO CEP: 46445000"
123,BA,"Casa Nova","CAPS I JOAO ELUIVIO FERNANDES DOS SANTOS","CAPS I","QUADRA A, 03 Bairro: TOPOL CEP: 47300000 Fone: 74988019399"
124,BA,"Castro Alves","CAPS I CASTRO ALVES","CAPS I","RUA BENJAMIM COSNTANT, S/N Bairro: CENTRO CEP: 44500000 Fone: 75 35223805"
125,BA,Catu,"CAPS I CATU","CAPS I","I TRAVESSA JURACY JUNIOR, 04 Bairro: PIONEIRO CEP: 48110000 Fone: (71)36415121"
126,BA,"Cícero Dantas","CAPS CENTRO DE ATENCAO PSICOSSOCIAL ZE DE ISSAC","CAPS I","RUA BENICIO TOMAZ, 00 Bairro: CENTRO CEP: 48410000"
127,BA,Cipó,"CAPS I CIPO","CAPS I","PRACA JURACY MAGALHAES, S/N Bairro: CENTRO CEP: 48450000 Fone: 75982557543"
128,BA,Coaraci,"CAPS I JANDIRA GALLY ARGOLO","CAPS I","AVENIDA JURACY MAGALHAES, S/N Bairro: CENTRO CEP: 45638000"
129,BA,"Conceição da Feira","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I","CAPS I","RUA MIGUEL CALMON, S/N Bairro: CENTRO CEP: 44320000"
130,BA,"Conceição do Coité","CAPS CENTRO DE APOIO PSICOSSOCIAL","CAPS I","RUA ANTONIO ARAUJO, 201 Bairro: CARIJJE CEP: 48730000 Fone: 32621652"
131,BA,"Conceição do Jacuípe","CENTRO DE ATENCAO PSICOSOCIAL LEPOLDO AZEVEDO DA SILVA","CAPS I","RUA RIO BRANCO, S/N Bairro: CENTRO CEP: 44245000"
132,BA,"Coração de Maria","CENTRO DE ATENCAO PSICOSSOCIAL ANTONIO FERREIRA MARQUES","CAPS I","RUA LINDAURA UZEDA, 60 Bairro: CENTRO CEP: 44250000 Fone: 75 32482702"
133,BA,"Coronel João Sá","CAPS CASA AMIGA","CAPS I","AV SANHAROL, 1 Bairro: SANHAROL CEP: 48590000"
134,BA,Crisópolis,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL DE CRISOPOLIS","CAPS I","RUA ARTUR MARTINS DOS SANTOS, S/N Bairro: CENTRO CEP: 48480000"
135,BA,"Cruz das Almas","CAPS 1 RESTITUICAO","CAPS I","LYONS CLUBE, S/N Bairro: ASSEMBLEIA CEP: 44380000 Fone: 075-3621-8200"
136,BA,Curaçá,"CAPS DOMINGOS RODRIGUES DOS SANTOS","CAPS I","AVENIDA DOS VAQUEIROS, S/N Bairro: CENTRO CEP: 48930000 Fone: (74)35311123"
137,BA,"Dias d'Ávila","CENTRO DE ATENCAO PSICOSSOCIAL DE DIAS DAVILA","CAPS I","RUA ESPIRITO SANTO, S/N Bairro: LESSA RIBEIRO CEP: 42850000 Fone: 71 3625-7684"
138,BA,Encruzilhada,"CAPS CRISTINA PALLES","CAPS I","AVENIDA LAFAIETE ANDRADE, 26 Bairro: FORTALEZA CEP: 45150000 Fone: 7734392266"
139,BA,Esplanada,"CAPS I IRMA SANTINHA","CAPS I","RUA DR ANTONIO GOMES DE OLIVEIRA, S/N Bairro: CENTRO CEP: 48370000 Fone: 75-34272753"
140,BA,"Euclides da Cunha","CENTRO DE ATENCAO PSICOSSOCIAL DE EUCLIDES DA CUNHA","CAPS I","JOAQUIM SANTANA LIMA, S/N Bairro: CENTRO CEP: 48500000 Fone: (75)3271 1803"
141,BA,Eunápolis,"CAPS AD","CAPS AD","RUA PROFESSORA MARCIA MEDEIROS SANTOS, 130 Bairro: SANTA ISABEL CEP: 45820970 Fone: 73-3281-7812"
142,BA,Eunápolis,"CAPS IA","CAPS i","RUA CRISTOVAO COLOMBO, 246 Bairro: PEQUI CEP: 45820970"
143,BA,Eunápolis,"CAPS CENTRO DE ATENCAO PSICO SOCIAL","CAPS II","RUA RAIMUNDO NASCIMENTO, 165 Bairro: CENTAURO CEP: 45820970 Fone: (73)3262-9759"
144,BA,"Feira de Santana","CAPS DR GUTEMBERG ALMEIDA","CAPS AD","PRUDENTE DE MORAIS, 170 Bairro: PONTO CENTRAL CEP: 44075185 Fone: (75)6253378"
145,BA,"Feira de Santana","CAPS I OSVALDO BRASILEIRO FRANCO","CAPS i","ALAMEDA DA PEDRA, S/N Bairro: OLHOS DAGUA CEP: 44003510 Fone: (75)36124556"
